round_num,iterations,depth,white agent,black agent,white_victory,winner,moves_played,remain_w_pieces,remaining_b_pieces,remaining_tot_pieces
1,10,1,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,56,7,11,18
2,10,1,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,46,8,11,19
3,10,1,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,44,7,11,18
4,10,1,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,56,6,10,16
5,10,1,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,30,10,12,22
6,10,1,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,56,3,10,13
7,10,1,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,48,6,10,16
8,10,1,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,48,6,9,15
9,10,1,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,46,9,11,20
10,10,1,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,54,5,9,14
1,10,2,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,66,6,9,15
2,10,2,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,48,7,11,18
3,10,2,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,50,9,11,20
4,10,2,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,70,8,9,17
5,10,2,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,62,4,9,13
6,10,2,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,46,8,11,19
7,10,2,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,54,7,12,19
8,10,2,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,42,10,11,21
9,10,2,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,76,4,9,13
10,10,2,advanced_minimax_agent,stockfish,False,checkmate: Black wins!,28,12,14,26
