round_num,iterations,depth,white agent,black agent,white_victory,winner,moves_played,remain_w_pieces,remaining_b_pieces,remaining_tot_pieces
1,10,1,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,37,15,4,19
2,10,1,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,45,15,5,20
3,10,1,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,25,14,11,25
4,10,1,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,27,15,9,24
5,10,1,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,35,15,9,24
6,10,1,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,31,15,7,22
7,10,1,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,37,16,6,22
8,10,1,advanced_alpha-beta_minimax_agent,random_agent,False,draw: stalemate,59,15,1,16
9,10,1,advanced_alpha-beta_minimax_agent,random_agent,False,draw: stalemate,65,15,4,19
10,10,1,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,37,16,6,22
1,10,2,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,39,14,4,18
2,10,2,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,47,14,5,19
3,10,2,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,41,15,4,19
4,10,2,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,35,15,7,22
5,10,2,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,61,13,1,14
6,10,2,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,31,14,10,24
7,10,2,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,77,11,1,12
8,10,2,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,27,14,8,22
9,10,2,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,49,13,3,16
10,10,2,advanced_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,27,15,9,24
