round_num,iterations,depth,white agent,black agent,white_victory,winner,moves_played,remain_w_pieces,remaining_b_pieces,remaining_tot_pieces
1,10,1,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,30,10,12,22
2,10,1,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,56,7,11,18
3,10,1,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,44,6,13,19
4,10,1,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,44,7,13,20
5,10,1,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,68,3,11,14
6,10,1,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,30,10,12,22
7,10,1,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,42,6,11,17
8,10,1,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,58,6,11,17
9,10,1,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,48,6,10,16
10,10,1,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,36,7,12,19
1,10,2,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,36,7,11,18
2,10,2,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,54,2,13,15
3,10,2,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,38,6,14,20
4,10,2,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,32,6,14,20
5,10,2,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,36,6,14,20
6,10,2,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,38,6,14,20
7,10,2,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,56,2,13,15
8,10,2,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,36,6,14,20
9,10,2,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,38,6,12,18
10,10,2,advanced_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,38,6,14,20
