round_num,iterations,depth,white agent,black agent,white_victory,winner,moves_played,remain_w_pieces,remaining_b_pieces,remaining_tot_pieces
1,10,,naive_agent,random_agent,False,draw: claim,79,14,1,15
2,10,,naive_agent,random_agent,False,draw: claim,39,15,6,21
3,10,,naive_agent,random_agent,False,draw: claim,47,16,1,17
4,10,,naive_agent,random_agent,False,draw: claim,127,11,1,12
5,10,,naive_agent,random_agent,False,draw: claim,137,11,1,12
6,10,,naive_agent,random_agent,False,draw: claim,57,15,1,16
7,10,,naive_agent,random_agent,False,draw: claim,121,12,1,13
8,10,,naive_agent,random_agent,False,draw: claim,57,13,1,14
9,10,,naive_agent,random_agent,False,draw: claim,103,14,2,16
10,10,,naive_agent,random_agent,False,draw: claim,115,11,1,12
1,10,,improved_agent,random_agent,False,draw: claim,125,5,1,6
2,10,,improved_agent,random_agent,False,draw: claim,128,11,1,12
3,10,,improved_agent,random_agent,False,draw: claim,113,6,1,7
4,10,,improved_agent,random_agent,False,draw: claim,189,4,2,6
5,10,,improved_agent,random_agent,True,checkmate: White wins!,63,14,4,18
6,10,,improved_agent,random_agent,True,checkmate: White wins!,63,10,4,14
7,10,,improved_agent,random_agent,True,checkmate: White wins!,75,8,3,11
8,10,,improved_agent,random_agent,True,checkmate: White wins!,75,11,2,13
9,10,,improved_agent,random_agent,True,checkmate: White wins!,67,12,1,13
10,10,,improved_agent,random_agent,True,checkmate: White wins!,77,12,4,16
1,10,,advanced_agent,random_agent,True,checkmate: White wins!,45,12,3,15
2,10,,advanced_agent,random_agent,True,checkmate: White wins!,43,13,3,16
3,10,,advanced_agent,random_agent,True,checkmate: White wins!,61,15,1,16
4,10,,advanced_agent,random_agent,True,checkmate: White wins!,67,15,1,16
5,10,,advanced_agent,random_agent,True,checkmate: White wins!,63,12,1,13
6,10,,advanced_agent,random_agent,True,checkmate: White wins!,61,14,1,15
7,10,,advanced_agent,random_agent,True,checkmate: White wins!,37,13,3,16
8,10,,advanced_agent,random_agent,True,checkmate: White wins!,17,15,12,27
9,10,,advanced_agent,random_agent,True,checkmate: White wins!,39,13,3,16
10,10,,advanced_agent,random_agent,True,checkmate: White wins!,69,13,1,14
