round_num,iterations,depth,white agent,black agent,white_victory,winner,moves_played,remain_w_pieces,remaining_b_pieces,remaining_tot_pieces
1,10,,naive_agent,stockfish,False,checkmate: Black wins!,16,14,16,30
2,10,,naive_agent,stockfish,False,checkmate: Black wins!,20,11,15,26
3,10,,naive_agent,stockfish,False,checkmate: Black wins!,26,11,15,26
4,10,,naive_agent,stockfish,False,checkmate: Black wins!,38,9,14,23
5,10,,naive_agent,stockfish,False,checkmate: Black wins!,26,14,16,30
6,10,,naive_agent,stockfish,False,checkmate: Black wins!,20,14,16,30
7,10,,naive_agent,stockfish,False,checkmate: Black wins!,22,14,16,30
8,10,,naive_agent,stockfish,False,checkmate: Black wins!,22,14,16,30
9,10,,naive_agent,stockfish,False,checkmate: Black wins!,24,12,15,27
10,10,,naive_agent,stockfish,False,checkmate: Black wins!,16,14,16,30
1,10,,improved_agent,stockfish,False,checkmate: Black wins!,30,13,14,27
2,10,,improved_agent,stockfish,False,checkmate: Black wins!,20,12,15,27
3,10,,improved_agent,stockfish,False,checkmate: Black wins!,26,9,14,23
4,10,,improved_agent,stockfish,False,checkmate: Black wins!,28,8,10,18
5,10,,improved_agent,stockfish,False,checkmate: Black wins!,24,11,12,23
6,10,,improved_agent,stockfish,False,checkmate: Black wins!,34,7,12,19
7,10,,improved_agent,stockfish,False,checkmate: Black wins!,40,5,9,14
8,10,,improved_agent,stockfish,False,checkmate: Black wins!,24,10,13,23
9,10,,improved_agent,stockfish,False,checkmate: Black wins!,20,12,14,26
10,10,,improved_agent,stockfish,False,checkmate: Black wins!,36,9,13,22
1,10,,advanced_agent,stockfish,False,checkmate: Black wins!,24,10,13,23
2,10,,advanced_agent,stockfish,False,checkmate: Black wins!,36,7,11,18
3,10,,advanced_agent,stockfish,False,checkmate: Black wins!,50,3,9,12
4,10,,advanced_agent,stockfish,False,checkmate: Black wins!,34,7,12,19
5,10,,advanced_agent,stockfish,False,checkmate: Black wins!,38,6,11,17
6,10,,advanced_agent,stockfish,False,checkmate: Black wins!,54,2,11,13
7,10,,advanced_agent,stockfish,False,checkmate: Black wins!,36,6,10,16
8,10,,advanced_agent,stockfish,False,checkmate: Black wins!,24,10,13,23
9,10,,advanced_agent,stockfish,False,checkmate: Black wins!,38,6,11,17
10,10,,advanced_agent,stockfish,False,checkmate: Black wins!,42,5,9,14
