round_num,iterations,depth,white agent,black agent,white_victory,winner,moves_played,remain_w_pieces,remaining_b_pieces,remaining_tot_pieces
1,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,38,9,13,22
2,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,54,10,11,21
3,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,50,6,10,16
4,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,28,13,14,27
5,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,38,7,13,20
6,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,50,7,10,17
7,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,32,9,13,22
8,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,40,10,13,23
9,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,36,9,14,23
10,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,46,7,12,19
1,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,38,8,13,21
2,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,42,10,14,24
3,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,48,4,12,16
4,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,46,6,12,18
5,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,44,10,13,23
6,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,34,12,13,25
7,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,72,3,8,11
8,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,46,6,10,16
9,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,32,11,13,24
10,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,52,4,11,15
