round_num,iterations,depth,white agent,black agent,white_victory,winner,moves_played,remain_w_pieces,remaining_b_pieces,remaining_tot_pieces
1,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,50,3,10,13
2,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,42,8,13,21
3,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,44,5,14,19
4,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,22,13,15,28
5,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,44,7,11,18
6,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,40,9,13,22
7,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,52,3,10,13
8,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,42,8,11,19
9,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,42,9,13,22
10,10,1,improved_minimax_agent,stockfish,False,checkmate: Black wins!,32,11,13,24
1,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,40,10,12,22
2,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,52,9,11,20
3,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,52,9,11,20
4,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,38,10,12,22
5,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,40,7,12,19
6,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,38,12,13,25
7,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,50,9,9,18
8,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,40,8,11,19
9,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,48,10,14,24
10,10,2,improved_minimax_agent,stockfish,False,checkmate: Black wins!,54,7,12,19
