round_num,iterations,depth,white agent,black agent,white_victory,winner,moves_played,remain_w_pieces,remaining_b_pieces,remaining_tot_pieces
1,10,1,naive_minimax_agent,stockfish,False,checkmate: Black wins!,32,15,15,30
2,10,1,naive_minimax_agent,stockfish,False,checkmate: Black wins!,32,12,11,23
3,10,1,naive_minimax_agent,stockfish,False,checkmate: Black wins!,38,13,15,28
4,10,1,naive_minimax_agent,stockfish,False,checkmate: Black wins!,34,15,15,30
5,10,1,naive_minimax_agent,stockfish,False,checkmate: Black wins!,36,15,15,30
6,10,1,naive_minimax_agent,stockfish,False,checkmate: Black wins!,34,14,16,30
7,10,1,naive_minimax_agent,stockfish,False,checkmate: Black wins!,30,14,14,28
8,10,1,naive_minimax_agent,stockfish,False,checkmate: Black wins!,30,15,15,30
9,10,1,naive_minimax_agent,stockfish,False,checkmate: Black wins!,18,14,15,29
10,10,1,naive_minimax_agent,stockfish,False,checkmate: Black wins!,62,10,11,21
1,10,2,naive_minimax_agent,stockfish,False,checkmate: Black wins!,42,7,12,19
2,10,2,naive_minimax_agent,stockfish,False,checkmate: Black wins!,50,10,13,23
3,10,2,naive_minimax_agent,stockfish,False,checkmate: Black wins!,48,10,12,22
4,10,2,naive_minimax_agent,stockfish,False,checkmate: Black wins!,30,15,15,30
5,10,2,naive_minimax_agent,stockfish,False,checkmate: Black wins!,40,14,14,28
6,10,2,naive_minimax_agent,stockfish,False,checkmate: Black wins!,36,8,14,22
7,10,2,naive_minimax_agent,stockfish,False,checkmate: Black wins!,32,13,15,28
8,10,2,naive_minimax_agent,stockfish,False,checkmate: Black wins!,30,13,14,27
9,10,2,naive_minimax_agent,stockfish,False,checkmate: Black wins!,44,11,12,23
10,10,2,naive_minimax_agent,stockfish,False,checkmate: Black wins!,36,14,12,26
