round_num,iterations,depth,white agent,black agent,white_victory,winner,moves_played,remain_w_pieces,remaining_b_pieces,remaining_tot_pieces
1,10,3,naive_alpha-beta_minimax_agent,random_agent,False,draw: stalemate,83,15,2,17
2,10,3,naive_alpha-beta_minimax_agent,random_agent,False,draw: claim,85,13,1,14
3,10,3,naive_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,53,16,3,19
4,10,3,naive_alpha-beta_minimax_agent,random_agent,False,draw: claim,91,14,3,17
5,10,3,naive_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,49,16,8,24
6,10,3,naive_alpha-beta_minimax_agent,random_agent,False,draw: claim,142,12,1,13
7,10,3,naive_alpha-beta_minimax_agent,random_agent,False,draw: stalemate,83,14,2,16
8,10,3,naive_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,19,15,15,30
9,10,3,naive_alpha-beta_minimax_agent,random_agent,True,checkmate: White wins!,71,14,5,19
10,10,3,naive_alpha-beta_minimax_agent,random_agent,False,draw: claim,81,15,1,16
