round_num,iterations,depth,white agent,black agent,white_victory,winner,moves_played,remain_w_pieces,remaining_b_pieces,remaining_tot_pieces
1,10,1,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,20,14,15,29
2,10,1,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,28,15,15,30
3,10,1,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,34,15,14,29
4,10,1,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,38,13,15,28
5,10,1,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,42,14,15,29
6,10,1,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,48,14,14,28
7,10,1,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,28,15,15,30
8,10,1,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,38,14,15,29
9,10,1,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,38,13,16,29
10,10,1,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,34,15,15,30
1,10,2,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,22,9,14,23
2,10,2,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,22,9,14,23
3,10,2,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,22,9,14,23
4,10,2,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,22,9,14,23
5,10,2,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,22,9,14,23
6,10,2,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,22,9,14,23
7,10,2,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,24,10,14,24
8,10,2,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,22,9,14,23
9,10,2,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,22,9,14,23
10,10,2,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,22,9,14,23
