round_num,iterations,depth,white agent,black agent,white_victory,winner,moves_played,remain_w_pieces,remaining_b_pieces,remaining_tot_pieces
1,10,3,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,44,11,12,23
2,10,3,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,18,14,14,28
3,10,3,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,18,14,14,28
4,10,3,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,18,14,14,28
5,10,3,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,38,10,13,23
6,10,3,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,36,12,13,25
7,10,3,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,22,14,15,29
8,10,3,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,34,14,14,28
9,10,3,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,32,13,14,27
10,10,3,naive_alpha-beta_minimax_agent,stockfish,False,checkmate: Black wins!,30,14,16,30
